acc,parity,deo,roc_val,acc_val,dataset,alpha,p_intra,p_inter,p_edge,p_feat,lambda_cl_fair,seed,time_sec
0.6852874159812927,0.020853668451309204,0.018687427043914795,0.7296349729363811,0.6856725215911865,pokec,25,0.5,0.0,0.2,0.2,1.0,4,20.13363003730774
0.6466385126113892,0.003015756607055664,0.015034765005111694,0.7327442576338118,0.6603313684463501,pokec,25,0.5,0.0,0.2,0.2,1.0,5,20.34014368057251
0.6755439639091492,0.011751502752304077,0.002026677131652832,0.7509989525916435,0.6754385828971863,pokec,25,0.5,0.0,0.2,0.2,1.0,6,20.140350103378296
0.6495615243911743,0.039614737033843994,0.056227147579193115,0.720310938017677,0.654483437538147,pokec,25,0.5,0.0,0.2,0.2,1.0,7,20.149061679840088
0.6784670352935791,0.0023089051246643066,0.027500927448272705,0.7341229792991243,0.6598440408706665,pokec,25,0.5,0.0,0.2,0.2,1.0,8,20.18779730796814
0.6839882731437683,0.025969982147216797,0.027218103408813477,0.7454377584506378,0.6666666865348816,pokec,25,0.5,0.0,0.2,0.2,1.0,9,20.179789543151855
0.6878856420516968,0.014305204153060913,0.026251912117004395,0.7067676710774939,0.6613060235977173,pokec,50,0.5,0.0,0.2,0.2,1.0,1,20.257343769073486
0.686261773109436,0.023793280124664307,0.016778647899627686,0.7731124450635749,0.6983430981636047,pokec,50,0.5,0.0,0.2,0.2,1.0,2,20.00005340576172
0.6518349647521973,0.014924228191375732,0.016495823860168457,0.7591447724584116,0.6510721445083618,pokec,50,0.5,0.0,0.2,0.2,1.0,3,20.314139366149902
0.6745696663856506,0.008789807558059692,0.03593730926513672,0.731941276386909,0.6666666865348816,pokec,50,0.5,0.0,0.2,0.2,1.0,4,20.38239622116089
0.6375446319580078,0.0023351311683654785,0.0004006624221801758,0.7318925819236605,0.6515594720840454,pokec,50,0.5,0.0,0.2,0.2,1.0,5,19.99927067756653
0.6882104277610779,0.017881780862808228,0.0144692063331604,0.7699277316877787,0.6915204524993896,pokec,50,0.5,0.0,0.2,0.2,1.0,6,20.130733728408813
0.6443650126457214,0.005612969398498535,0.008342146873474121,0.7573320971941486,0.6530214548110962,pokec,50,0.5,0.0,0.2,0.2,1.0,7,20.479019165039062
0.6947060227394104,0.018616795539855957,0.042441368103027344,0.7543693732831621,0.6793372631072998,pokec,50,0.5,0.0,0.2,0.2,1.0,8,20.245755910873413
0.6856122016906738,0.039775192737579346,0.035843074321746826,0.7476633818591164,0.6759259104728699,pokec,50,0.5,0.0,0.2,0.2,1.0,9,20.558494091033936
0.6619032025337219,0.018014967441558838,0.03216683864593506,0.7269090377878582,0.6535087823867798,pokec,100,0.5,0.0,0.2,0.2,1.0,1,20.45283317565918
0.6882104277610779,0.017935216426849365,0.006409764289855957,0.7796699661143823,0.705165684223175,pokec,100,0.5,0.0,0.2,0.2,1.0,2,20.109970092773438
0.6570314764976501,0.037957847118377686,0.030540823936462402,0.7621447333118824,0.6539961099624634,pokec,100,0.5,0.0,0.2,0.2,1.0,3,20.25506329536438
0.6784670352935791,0.02021881937980652,0.03669142723083496,0.7228549850240655,0.6769005656242371,pokec,100,0.5,0.0,0.2,0.2,1.0,4,20.555113792419434
0.6505358815193176,0.015411734580993652,0.011099278926849365,0.7425433022675388,0.6764132380485535,pokec,100,0.5,0.0,0.2,0.2,1.0,5,19.962454080581665
0.6674244403839111,0.0027843713760375977,0.017179250717163086,0.7305520519942292,0.6647173762321472,pokec,100,0.5,0.0,0.2,0.2,1.0,6,20.191547393798828
0.6472880840301514,0.0032082796096801758,0.005042970180511475,0.758832077620884,0.654483437538147,pokec,100,0.5,0.0,0.2,0.2,1.0,7,20.50608205795288
0.6680740118026733,0.01051950454711914,0.010250985622406006,0.7156601393807401,0.6530214548110962,pokec,100,0.5,0.0,0.2,0.2,1.0,8,20.10807704925537
0.6615784168243408,0.004442811012268066,0.022787749767303467,0.7316629541116746,0.6666666865348816,pokec,100,0.5,0.0,0.2,0.2,1.0,9,20.166611433029175
0.6755439639091492,0.001975536346435547,0.018616676330566406,0.731521644688914,0.6608186960220337,pokec,200,0.5,0.0,0.2,0.2,1.0,1,20.521785259246826
0.6755439639091492,0.03063488006591797,0.009732544422149658,0.7647732795339082,0.6807992458343506,pokec,200,0.5,0.0,0.2,0.2,1.0,2,19.96648073196411
0.6651510000228882,0.003570735454559326,0.011193573474884033,0.7113315835153011,0.6627680063247681,pokec,200,0.5,0.0,0.2,0.2,1.0,3,20.2021484375
0.6778174638748169,0.0016234517097473145,0.012631088495254517,0.7344347193432549,0.6764132380485535,pokec,200,0.5,0.0,0.2,0.2,1.0,4,20.394513607025146
0.6641766428947449,0.01239919662475586,0.0008247494697570801,0.7621623969897273,0.6734892725944519,pokec,200,0.5,0.0,0.2,0.2,1.0,5,20.027947187423706
0.6687235832214355,0.008766770362854004,0.00987386703491211,0.731756046467885,0.6608186960220337,pokec,200,0.5,0.0,0.2,0.2,1.0,6,20.84329390525818
0.6706722974777222,0.014711856842041016,0.01706141233444214,0.7689652999435717,0.6778752207756042,pokec,200,0.5,0.0,0.2,0.2,1.0,7,26.57134485244751
0.6810652613639832,0.01674717664718628,0.031153559684753418,0.7343187119455157,0.6559454202651978,pokec,200,0.5,0.0,0.2,0.2,1.0,8,20.24030613899231
0.6784670352935791,0.02493944764137268,0.044680118560791016,0.7370403505237518,0.6676413416862488,pokec,200,0.5,0.0,0.2,0.2,1.0,9,19.909276962280273
