epoch,acc,parity,deo,dataset,alpha,seed,pretrain_epochs,p_edge,p_feat,lambda_cl_fair,time_sec
61,0.7619048357009888,0.2433510422706604,0.3333333730697632,nba,10,2,200,0.2,0.2,1.0,8.609399795532227
15,0.682539701461792,0.2353723645210266,0.08333331346511841,nba,10,3,200,0.2,0.2,1.0,7.558924198150635
206,0.7301587462425232,0.24069148302078247,0.4583333730697632,nba,10,4,200,0.2,0.2,1.0,8.054374933242798
12,0.5873016119003296,0.08439898490905762,0.041666626930236816,nba,10,5,200,0.2,0.2,1.0,7.598644256591797
206,0.7777778506278992,0.17686167359352112,0.4583333730697632,nba,10,6,200,0.2,0.2,1.0,7.9046471118927
1,0.4761905074119568,0.04347825050354004,0.08333331346511841,nba,10,7,200,0.2,0.2,1.0,8.264549970626831
15,0.5396825671195984,0.012787699699401855,0.04166668653488159,nba,10,8,200,0.2,0.2,1.0,7.614123106002808
7,0.5714285969734192,0.1276596188545227,0.041666626930236816,nba,10,9,200,0.2,0.2,1.0,7.974777698516846
4,0.5079365372657776,0.0,0.0,nba,25,1,200,0.2,0.2,1.0,8.332361459732056
78,0.7460317611694336,0.3058510422706604,0.4583333730697632,nba,25,2,200,0.2,0.2,1.0,7.453582286834717
15,0.682539701461792,0.15159577131271362,0.08333331346511841,nba,25,3,200,0.2,0.2,1.0,8.402740240097046
333,0.7301587462425232,0.24069148302078247,0.4583333730697632,nba,25,4,200,0.2,0.2,1.0,8.510396003723145
3,0.523809552192688,0.02173912525177002,0.0,nba,25,5,200,0.2,0.2,1.0,7.467325925827026
251,0.7619048357009888,0.1981382966041565,0.4583333730697632,nba,25,6,200,0.2,0.2,1.0,8.142246961593628
1,0.4603174924850464,0.06521737575531006,0.125,nba,25,7,200,0.2,0.2,1.0,7.943275690078735
14,0.4920635223388672,0.06521737575531006,0.08333331346511841,nba,25,8,200,0.2,0.2,1.0,7.5823655128479
36,0.7460317611694336,0.1808510422706604,0.3333333730697632,nba,25,9,200,0.2,0.2,1.0,8.088735580444336
4,0.5079365372657776,0.0,0.0,nba,50,1,200,0.2,0.2,1.0,7.794112205505371
66,0.7460317611694336,0.3058510422706604,0.4583333730697632,nba,50,2,200,0.2,0.2,1.0,7.77473521232605
3,0.523809552192688,0.02260643243789673,0.08333331346511841,nba,50,3,200,0.2,0.2,1.0,7.997637510299683
273,0.7142857313156128,0.17819148302078247,0.4583333730697632,nba,50,4,200,0.2,0.2,1.0,7.454086542129517
9,0.5079365372657776,0.006393849849700928,0.08333337306976318,nba,50,5,200,0.2,0.2,1.0,8.053908586502075
348,0.7936508655548096,0.15558508038520813,0.4583333730697632,nba,50,6,200,0.2,0.2,1.0,9.36577844619751
3,0.4761905074119568,0.04347825050354004,0.08333331346511841,nba,50,7,200,0.2,0.2,1.0,7.446367502212524
11,0.4761905074119568,0.14322251081466675,0.16666662693023682,nba,50,8,200,0.2,0.2,1.0,7.978385925292969
29,0.7460317611694336,0.09840422868728638,0.08333337306976318,nba,50,9,200,0.2,0.2,1.0,8.054052114486694
15,0.6693731546401978,0.015962958335876465,0.010015368461608887,pokec,0,1,200,0.2,0.2,1.0,20.52747678756714
9,0.6619032025337219,0.022665977478027344,0.0010368824005126953,pokec,0,2,200,0.2,0.2,1.0,21.0295090675354
8,0.6388437747955322,0.013097167015075684,0.007894396781921387,pokec,0,3,200,0.2,0.2,1.0,20.91893458366394
8,0.6612536311149597,0.011558473110198975,0.0208318829536438,pokec,0,4,200,0.2,0.2,1.0,20.6668918132782
28,0.6521597504615784,0.003861665725708008,0.004713118076324463,pokec,0,5,200,0.2,0.2,1.0,20.56799864768982
12,0.6547580361366272,0.03809744119644165,0.06515848636627197,pokec,0,6,200,0.2,0.2,1.0,20.91508984565735
7,0.6570314764976501,0.02893686294555664,0.03143632411956787,pokec,0,7,200,0.2,0.2,1.0,21.64043402671814
5,0.6667749285697937,0.04480820894241333,0.03869450092315674,pokec,0,8,200,0.2,0.2,1.0,20.53645944595337
4,0.656706690788269,0.05662280321121216,0.07724756002426147,pokec,0,9,200,0.2,0.2,1.0,20.709516048431396
26,0.6505358815193176,0.00646442174911499,0.0208318829536438,pokec,25,1,200,0.2,0.2,1.0,21.146324396133423
90,0.6745696663856506,0.034613728523254395,0.006527602672576904,pokec,25,2,200,0.2,0.2,1.0,20.52632474899292
277,0.6797661185264587,0.03273415565490723,0.0363614559173584,pokec,25,3,200,0.2,0.2,1.0,20.64253544807434
60,0.656706690788269,0.007909893989562988,0.013243794441223145,pokec,25,4,200,0.2,0.2,1.0,21.1603946685791
963,0.6878856420516968,9.626150131225586e-05,0.021020352840423584,pokec,25,5,200,0.2,0.2,1.0,20.498597145080566
405,0.7041246891021729,0.03460913896560669,0.015859603881835938,pokec,25,6,200,0.2,0.2,1.0,20.757720947265625
5,0.6722961664199829,0.003513544797897339,0.0033698678016662598,pokec,25,7,200,0.2,0.2,1.0,21.148866891860962
261,0.6999025344848633,0.008151620626449585,0.010957896709442139,pokec,25,8,200,0.2,0.2,1.0,20.548441410064697
395,0.6859369874000549,0.027114301919937134,0.05898427963256836,pokec,25,9,200,0.2,0.2,1.0,20.788515090942383
35,0.6550828218460083,0.014971554279327393,0.027029573917388916,pokec,50,1,200,0.2,0.2,1.0,21.109039306640625
523,0.6927573680877686,0.01676100492477417,0.020407676696777344,pokec,50,2,200,0.2,0.2,1.0,20.599838256835938
692,0.6947060227394104,0.05364677309989929,0.04229998588562012,pokec,50,3,200,0.2,0.2,1.0,20.73187232017517
45,0.6599544882774353,0.0061528682708740234,0.004076778888702393,pokec,50,4,200,0.2,0.2,1.0,20.866124868392944
242,0.6606040596961975,0.009428560733795166,0.0004006028175354004,pokec,50,5,200,0.2,0.2,1.0,20.82748031616211
